,Date,Symbol,Open,Close,Low,High,Volume
153360,2011-04-19,GOOGL,529.949995,521.530018,520.900033,530.880033,5362800
153830,2011-04-20,GOOGL,525.900033,525.730037,521.390021,526.820011,6113800
154300,2011-04-21,GOOGL,527.489994,525.099992,522.389997,528.280036,4935200
154770,2011-04-25,GOOGL,525.249988,525.049993,522.010006,527.000006,3258300
155240,2011-04-26,GOOGL,526.520018,532.819986,525.209989,537.439995,6993000
155710,2011-04-27,GOOGL,537.999982,537.759987,534.35001,538.109979,4592200
156180,2011-04-28,GOOGL,538.05998,537.969982,534.080016,539.250012,3996000
156650,2011-04-29,GOOGL,539.999994,544.100016,538.51003,544.100016,8448500
157120,2011-05-02,GOOGL,545.699977,538.560029,537.120003,545.730037,4263100
157590,2011-05-03,GOOGL,537.130003,533.890021,529.630003,542.010006,4158800
158060,2011-05-04,GOOGL,535.16999,535.790036,533.019981,539.000018,4229700
158530,2011-05-05,GOOGL,533.860022,534.270012,531.500018,539.420008,3991600
159000,2011-05-06,GOOGL,538.149978,535.299987,535.179989,541.460019,4108000
159470,2011-05-09,GOOGL,534.999994,537.679989,531.100028,538.490031,3893500
159940,2011-05-10,GOOGL,539.999994,542.65999,537.539993,544.430008,4081700
160410,2011-05-11,GOOGL,540.13999,535.449983,533.690026,543.550029,4672900
160880,2011-05-12,GOOGL,535.239988,535.049993,530.910033,536.940007,2893700
161350,2011-05-13,GOOGL,534.610003,529.550005,529.050017,535.920032,4213100
161820,2011-05-16,GOOGL,526.310023,518.420033,516.400021,527.27,5910400
162290,2011-05-17,GOOGL,515.429984,530.459983,515.029993,531.220025,6600500
162760,2011-05-18,GOOGL,529.540005,529.809999,525.699977,530.329986,3902400
163230,2011-05-19,GOOGL,532.729988,531.250024,529.720001,536.540017,4932400
163700,2011-05-20,GOOGL,531.800011,524.030018,523.129979,531.990006,4630300
164170,2011-05-23,GOOGL,516.600016,518.390033,513.400033,519.999994,4595400
164640,2011-05-24,GOOGL,520.369985,518.260036,518.149978,523.960019,3796200
165110,2011-05-25,GOOGL,517.329998,519.670002,517.25,522.769987,2600500
165580,2011-05-26,GOOGL,517.699989,518.129979,514.999994,522.120003,4232700
166050,2011-05-27,GOOGL,518.480031,520.900033,516.300023,521.790011,3488100
166520,2011-05-31,GOOGL,524.999994,529.020018,523.500031,529.050017,5369200
166990,2011-06-01,GOOGL,528.039981,525.599979,525.309986,533.199977,5905800
167460,2011-06-02,GOOGL,527.569992,528.05998,522.479994,530.299987,4404500
167930,2011-06-03,GOOGL,522.000006,523.07998,521.500018,527.599991,3493500
168400,2011-06-06,GOOGL,523.54003,521.060029,519.250012,526.820011,3880300
168870,2011-06-07,GOOGL,522.889984,519.030018,518.990019,524.630003,3811300
169340,2011-06-08,GOOGL,516.530018,519.170014,515.780036,521.240025,3303400
169810,2011-06-09,GOOGL,519.999994,516.730013,515.639978,519.999994,3374800
170280,2011-06-10,GOOGL,514.080017,509.510006,509.290011,516.690014,4874900
170750,2011-06-13,GOOGL,509.999994,504.730001,502.170002,510.20002,4849700
171220,2011-06-14,GOOGL,508.150009,508.370003,506.990007,514.080017,4678300
171690,2011-06-15,GOOGL,505.029993,502.950014,500.61001,508.350004,4142400
172160,2011-06-16,GOOGL,502.810017,500.370016,496.670015,506.570017,5508400
172630,2011-06-17,GOOGL,506.179996,485.019994,484.799999,506.690014,10480300
173100,2011-06-20,GOOGL,484.999994,484.580005,479.230013,486.229995,6051100
173570,2011-06-21,GOOGL,487.190002,493.000013,484.730001,493.94002,5525200
174040,2011-06-22,GOOGL,491.45002,487.010006,486.730013,492.349998,4809300
174510,2011-06-23,GOOGL,482.130003,480.22002,473.729995,482.860016,9593700
