Date,Open,High,Low,Close,Adj Close,Volume
2015-12-23,58.340000,58.459999,57.830002,57.980000,56.097130,934600
2015-12-24,58.049999,58.169998,57.740002,57.990002,56.106808,368000
2015-12-28,58.029999,59.200001,57.799999,59.110001,57.190434,1278400
2015-12-29,59.540001,60.110001,59.180000,59.380001,57.451664,1009400
2015-12-30,59.290001,59.950001,58.759998,59.020000,57.103367,743300
2015-12-31,58.770000,59.060001,58.169998,58.169998,56.280960,807900
2016-01-04,56.900002,57.150002,56.009998,56.540001,54.703892,1299400
2016-01-05,56.590000,57.529999,56.520000,57.400002,55.535969,1257400
2016-01-06,56.689999,57.740002,56.419998,57.230000,55.371487,747900
2016-01-07,56.369999,57.880001,56.320000,57.099998,55.245708,2842200
2016-01-08,57.470001,57.509998,55.720001,55.810001,53.997612,1372900
2016-01-11,56.529999,57.590000,56.119999,57.279999,55.419861,1509200
2016-01-12,57.889999,57.959999,57.279999,57.580002,55.710117,1278600
2016-01-13,57.770000,57.910000,55.459999,55.730000,53.920200,1448900
2016-01-14,56.090000,57.990002,55.790001,57.490002,55.623047,1546300
2016-01-15,55.830002,57.500000,55.830002,56.490002,54.655518,1438900
2016-01-19,57.209999,58.139999,57.080002,57.470001,55.603695,1287400
2016-01-20,56.490002,56.970001,55.270000,56.299999,54.471691,1245800
2016-01-21,56.349998,57.290001,55.740002,55.779999,53.968575,1150100
2016-01-22,56.660000,57.930000,55.459999,57.730000,55.855251,999400
2016-01-25,57.540001,57.990002,56.560001,56.599998,54.761944,1075400
2016-01-26,57.090000,58.619999,56.759998,58.529999,56.629269,1379500
2016-01-27,58.740002,59.959999,57.970001,58.299999,56.406738,1714800
2016-01-28,57.980000,59.849998,56.250000,58.889999,56.977577,1903700
2016-01-29,59.450001,62.360001,58.709999,62.000000,59.986580,2291800
2016-02-01,61.959999,62.110001,60.389999,61.740002,59.735027,2113800
2016-02-02,61.000000,62.529999,60.750000,62.320000,60.296192,2176300
2016-02-03,62.540001,62.770000,60.400002,61.599998,59.599571,2097400
2016-02-04,61.730000,62.209999,58.689999,59.849998,57.906403,2506700
